Food Item,Category,Meal Type,Cuisine Region,Calories (kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Vitamin A (µg),Vitamin C (mg),Vitamin B12 (µg),Serving Size (g/ml),Dietary Preference,Preparation Time (minutes),Veg/Non-Veg,Preferred For,Cheat Meal
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,546,41,8,28,2,97,5.2,64.0,390,92,8,0.5,375,General Fitness,64,Non-Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,119,35,32,44,5,48,1.0,14.0,467,81,8,0.4,349,General Fitness,75,Non-Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,679,25,6,28,5,142,0.9,45.0,364,243,9,1.1,311,General Fitness,43,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,662,13,23,13,2,135,1.4,11.0,230,148,27,1.2,101,General Fitness,56,Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,351,51,16,15,1,284,1.8,29.0,373,186,24,2.0,184,General Fitness,35,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,381,74,4,42,8,227,4.0,78.0,126,219,35,1.3,284,General Fitness,26,Non-Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,534,17,10,9,6,218,5.4,16.0,416,166,28,0.1,253,General Fitness,83,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,204,72,39,41,6,60,3.7,25.0,268,227,34,1.0,124,General Fitness,72,Non-Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,508,50,2,4,1,95,0.8,45.0,315,238,9,0.6,360,General Fitness,69,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,536,43,5,19,6,120,3.3,50.0,373,131,30,0.9,156,General Fitness,84,Non-Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,621,63,11,15,1,202,2.3,59.0,204,140,21,1.3,368,General Fitness,8,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,438,31,29,28,5,240,3.8,68.0,424,97,6,1.9,166,General Fitness,63,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,609,18,15,18,1,235,5.1,11.0,455,151,36,1.0,119,General Fitness,17,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,127,35,33,28,9,126,0.5,50.0,106,60,11,1.0,176,General Fitness,76,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,165,31,9,36,3,85,3.7,42.0,454,198,15,0.1,170,General Fitness,78,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,650,34,23,33,9,143,3.9,14.0,473,78,38,1.1,386,General Fitness,9,Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,417,67,22,33,7,289,2.3,63.0,211,107,26,0.3,320,General Fitness,34,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,501,36,30,2,2,93,2.1,72.0,112,111,34,0.2,392,General Fitness,43,Non-Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,652,34,29,38,5,139,2.3,54.0,244,209,34,1.1,385,General Fitness,55,Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,278,22,25,45,3,263,2.3,70.0,478,237,38,0.1,271,General Fitness,61,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,506,49,28,3,4,174,0.8,32.0,172,230,21,0.9,122,General Fitness,58,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,477,27,18,40,8,213,5.6,28.0,279,250,7,1.5,196,General Fitness,56,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,395,50,39,15,1,38,5.6,19.0,226,66,12,0.2,186,General Fitness,10,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,528,38,31,43,2,147,1.6,61.0,377,115,33,0.6,367,General Fitness,14,Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,699,16,15,12,5,244,4.9,76.0,435,202,22,1.2,198,General Fitness,71,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,299,47,33,23,7,130,3.7,77.0,449,88,6,0.0,146,General Fitness,5,Veg,General Fitness,No
Egg Curry,Non-Vegetarian,Lunch/Dinner,North Indian,317,73,12,21,5,126,0.7,60.0,105,188,28,0.0,297,General Fitness,59,Non-Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,652,69,39,17,10,256,4.5,47.0,475,200,8,1.7,155,General Fitness,9,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,350,32,15,14,5,221,1.7,68.0,411,156,24,1.3,110,General Fitness,77,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,189,75,6,16,8,53,3.3,74.0,362,192,14,0.2,354,General Fitness,43,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,524,20,16,20,8,296,3.9,58.0,473,246,20,1.5,114,General Fitness,86,Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,331,76,29,6,4,139,2.3,30.0,255,75,38,0.4,309,General Fitness,90,Veg,General Fitness,No
Biryani,Non-Vegetarian,Lunch/Dinner,Hyderabadi,537,31,14,33,10,221,3.5,70.0,365,74,14,1.0,176,General Fitness,60,Non-Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,307,76,34,40,9,87,5.0,48.0,169,140,18,0.4,226,General Fitness,46,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,325,53,32,8,2,44,3.3,68.0,249,82,5,0.1,287,General Fitness,19,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,239,77,40,17,4,204,3.4,62.0,349,131,34,0.7,148,General Fitness,29,Veg,General Fitness,No
Rasmalai,Vegetarian,Dessert,East Indian,521,57,27,41,2,228,1.8,79.0,411,80,21,1.6,207,General Fitness,57,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,191,53,31,26,3,198,3.4,56.0,162,57,14,0.6,139,General Fitness,65,Veg,General Fitness,No
Biryani,Non-Vegetarian,Lunch/Dinner,Hyderabadi,486,76,30,21,8,296,5.6,56.0,476,115,30,1.2,164,General Fitness,48,Non-Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,530,38,20,36,8,175,1.0,73.0,345,227,40,1.7,297,General Fitness,90,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,199,40,8,32,3,207,3.8,17.0,302,190,22,0.6,149,General Fitness,46,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,387,18,37,43,9,57,3.3,29.0,399,100,29,1.4,384,General Fitness,40,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,301,77,39,12,2,132,2.7,67.0,470,86,12,1.8,192,General Fitness,50,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,400,80,10,17,2,128,2.7,18.0,483,192,13,1.6,329,General Fitness,7,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,683,30,14,46,1,101,4.5,65.0,396,210,30,0.7,393,General Fitness,35,Non-Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,342,22,24,10,9,241,1.5,13.0,467,85,33,1.7,170,General Fitness,59,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,515,57,10,5,2,187,3.0,78.0,331,205,32,1.1,275,General Fitness,36,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,648,25,4,3,1,57,3.3,46.0,398,196,19,1.9,224,General Fitness,54,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,139,10,24,2,10,79,1.0,73.0,280,195,10,1.4,235,General Fitness,11,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,630,66,38,47,7,251,2.7,24.0,372,216,18,0.1,307,General Fitness,28,Non-Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,427,39,33,19,9,198,2.9,49.0,146,97,32,0.6,150,General Fitness,37,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,159,57,32,1,2,249,5.1,17.0,108,182,31,1.6,114,General Fitness,65,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,519,26,12,40,9,276,2.0,62.0,153,218,37,0.5,218,General Fitness,32,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,599,26,31,7,1,269,5.2,61.0,195,181,11,0.6,230,General Fitness,10,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,165,76,28,25,8,222,5.2,44.0,495,60,38,1.6,124,General Fitness,74,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,668,59,21,3,6,190,5.9,14.0,343,177,26,1.0,152,General Fitness,86,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,153,43,30,30,6,212,2.6,40.0,480,70,9,1.4,218,General Fitness,30,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,692,42,14,5,10,34,4.8,80.0,364,181,38,0.3,325,General Fitness,55,Non-Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,164,34,20,22,1,100,5.1,19.0,433,139,16,1.5,385,General Fitness,64,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,228,65,3,7,5,157,2.8,21.0,228,108,34,0.9,271,General Fitness,14,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,101,72,26,35,9,78,0.7,23.0,440,244,16,0.0,288,General Fitness,53,Non-Veg,General Fitness,No
Paratha,Vegetarian,Breakfast,North Indian,327,23,34,26,6,67,5.1,63.0,489,108,40,0.5,186,General Fitness,17,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,136,64,16,25,1,44,1.9,79.0,181,164,32,1.9,141,General Fitness,21,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,604,55,6,7,8,31,3.8,17.0,189,245,39,0.1,252,General Fitness,28,Veg,General Fitness,No
Egg Curry,Non-Vegetarian,Lunch/Dinner,North Indian,683,46,32,28,5,285,2.9,58.0,135,200,8,1.0,371,General Fitness,31,Non-Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,307,26,34,24,2,257,5.4,36.0,169,79,32,0.1,110,General Fitness,76,Veg,General Fitness,No
Rasmalai,Vegetarian,Dessert,East Indian,139,34,13,7,6,213,1.1,33.0,113,84,36,0.6,133,General Fitness,77,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,480,65,19,5,10,211,1.4,67.0,209,233,38,0.1,155,General Fitness,60,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,160,43,18,22,8,49,3.1,32.0,463,141,35,1.2,307,General Fitness,38,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,212,51,26,15,10,162,0.8,26.0,384,94,29,1.7,166,General Fitness,78,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,278,25,27,10,2,135,2.8,63.0,132,53,23,1.4,270,General Fitness,54,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,465,66,34,12,4,100,2.5,15.0,238,195,13,1.0,159,General Fitness,17,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,291,13,30,48,3,22,2.8,49.0,382,79,11,1.8,177,General Fitness,41,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,513,21,28,20,9,236,3.8,20.0,247,211,22,1.7,211,General Fitness,36,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,267,68,5,42,9,247,4.0,37.0,355,245,16,0.6,250,General Fitness,47,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,224,14,9,32,1,227,2.6,17.0,210,212,35,1.4,100,General Fitness,50,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,570,80,27,34,7,122,2.6,24.0,104,246,18,0.8,187,General Fitness,51,Veg,General Fitness,No
Gulab Jamun,Vegetarian,Dessert,North Indian,261,30,29,21,4,156,4.3,66.0,324,184,21,0.6,200,General Fitness,5,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,225,51,22,42,9,48,3.1,51.0,166,67,9,0.5,322,General Fitness,59,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,624,20,7,31,9,175,1.9,25.0,325,183,28,0.5,245,General Fitness,42,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,217,56,29,15,10,265,2.3,78.0,422,220,10,1.6,265,General Fitness,24,Non-Veg,General Fitness,No
Biryani,Non-Vegetarian,Lunch/Dinner,Hyderabadi,149,74,36,17,4,62,4.5,43.0,319,173,35,0.9,268,General Fitness,9,Non-Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,648,29,12,12,7,284,5.1,25.0,157,72,27,1.0,100,General Fitness,9,Non-Veg,General Fitness,No
Kadhi Pakora,Vegetarian,Lunch/Dinner,North Indian,150,41,5,6,9,68,3.8,27.0,333,218,35,0.7,268,General Fitness,23,Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,237,33,15,17,3,112,5.2,55.0,477,97,10,1.4,340,General Fitness,87,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,617,44,34,26,3,197,0.9,47.0,359,168,40,1.9,251,General Fitness,60,Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,167,66,31,27,8,149,2.6,69.0,487,210,27,0.1,385,General Fitness,12,Veg,General Fitness,No
Kadhi Pakora,Vegetarian,Lunch/Dinner,North Indian,215,27,30,32,4,197,3.1,68.0,114,162,35,1.4,276,General Fitness,76,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,119,30,6,5,7,277,3.1,45.0,215,220,18,1.7,171,General Fitness,33,Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,517,47,29,17,10,42,4.1,30.0,259,195,19,0.3,323,General Fitness,43,Veg,General Fitness,No
Paratha,Vegetarian,Breakfast,North Indian,313,37,40,7,4,278,4.8,65.0,484,134,8,0.8,154,General Fitness,44,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,689,65,34,22,9,123,1.6,48.0,100,244,31,1.0,325,General Fitness,9,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,322,32,24,23,8,288,2.3,74.0,195,194,34,1.9,139,General Fitness,25,Non-Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,340,37,19,29,2,138,1.1,22.0,487,102,29,0.6,280,General Fitness,72,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,158,53,33,37,1,156,3.2,15.0,195,91,36,1.1,113,General Fitness,42,Non-Veg,General Fitness,No
Rasmalai,Vegetarian,Dessert,East Indian,105,36,2,10,2,152,2.6,54.0,499,119,23,0.6,357,General Fitness,73,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,489,13,6,8,9,86,3.4,34.0,138,50,6,0.9,154,General Fitness,84,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,532,65,31,46,6,123,3.7,68.0,157,56,12,1.7,321,General Fitness,29,Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,112,46,40,20,5,83,0.9,46.0,184,103,17,1.6,368,General Fitness,23,Veg,General Fitness,No
Gulab Jamun,Vegetarian,Dessert,North Indian,429,56,9,6,1,266,0.7,10.0,292,84,13,1.4,214,General Fitness,6,Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,646,77,13,15,10,207,4.7,10.0,178,135,39,1.0,193,General Fitness,61,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,428,24,27,18,9,159,1.3,41.0,161,119,28,0.7,353,General Fitness,66,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,148,30,24,3,4,193,4.0,40.0,377,130,31,1.8,325,General Fitness,54,Non-Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,540,42,27,26,1,258,3.0,70.0,312,190,30,1.4,359,General Fitness,37,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,678,67,33,21,10,199,1.5,25.0,317,238,18,1.4,377,General Fitness,86,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,213,14,25,15,1,170,3.3,76.0,273,195,16,0.6,141,General Fitness,44,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,107,51,30,2,3,158,4.0,11.0,125,142,22,0.8,128,General Fitness,28,Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,479,18,37,9,9,33,1.6,46.0,163,95,17,1.4,209,General Fitness,77,Veg,General Fitness,No
Gulab Jamun,Vegetarian,Dessert,North Indian,392,51,11,38,6,256,4.3,64.0,108,119,27,0.9,142,General Fitness,10,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,508,80,14,19,1,130,5.0,46.0,366,75,39,0.7,153,General Fitness,90,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,558,14,18,3,5,103,5.4,73.0,486,154,8,1.4,370,General Fitness,55,Non-Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,535,30,34,12,4,75,4.8,37.0,447,127,29,0.7,383,General Fitness,88,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,462,60,24,1,10,238,0.9,28.0,336,149,16,0.7,101,General Fitness,33,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,211,24,6,33,9,61,0.7,42.0,209,113,33,1.5,354,General Fitness,30,Veg,General Fitness,No
Egg Curry,Non-Vegetarian,Lunch/Dinner,North Indian,377,59,28,16,4,192,3.5,10.0,199,129,37,0.9,101,General Fitness,56,Non-Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,413,34,24,44,7,23,3.2,39.0,395,100,5,1.5,127,General Fitness,5,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,230,47,7,22,10,269,1.8,30.0,396,200,35,0.1,354,General Fitness,28,Non-Veg,General Fitness,No
Egg Curry,Non-Vegetarian,Lunch/Dinner,North Indian,599,72,21,12,10,146,4.8,23.0,234,211,5,1.9,348,General Fitness,63,Non-Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,555,46,40,16,5,34,1.4,73.0,246,81,5,0.3,245,General Fitness,82,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,279,43,3,10,1,279,5.1,10.0,407,203,21,1.6,318,General Fitness,24,Non-Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,423,21,7,36,7,300,5.5,63.0,221,162,31,2.0,141,General Fitness,7,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,692,38,35,38,8,223,2.9,77.0,202,79,31,1.6,324,General Fitness,44,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,399,77,12,27,2,110,2.9,37.0,147,180,33,1.9,334,General Fitness,43,Veg,General Fitness,No
Egg Curry,Non-Vegetarian,Lunch/Dinner,North Indian,267,55,5,24,10,196,4.4,52.0,344,223,22,1.9,227,General Fitness,20,Non-Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,669,44,9,46,4,249,0.7,19.0,349,83,33,0.1,222,General Fitness,42,Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,352,58,34,46,7,227,3.8,40.0,417,66,22,0.1,244,General Fitness,49,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,306,46,22,48,1,266,5.2,20.0,392,173,34,1.1,211,General Fitness,46,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,449,78,33,30,9,177,6.0,20.0,305,208,9,1.8,102,General Fitness,80,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,546,26,26,29,4,211,0.9,59.0,208,130,5,2.0,210,General Fitness,36,Veg,General Fitness,No
Gulab Jamun,Vegetarian,Dessert,North Indian,471,24,7,6,3,51,2.0,75.0,193,162,14,1.6,331,General Fitness,90,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,494,48,16,31,1,56,0.7,54.0,408,99,28,1.2,386,General Fitness,5,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,599,33,34,9,8,91,3.5,12.0,161,220,31,1.3,107,General Fitness,13,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,664,27,24,11,3,239,3.9,41.0,326,144,5,1.4,145,General Fitness,57,Veg,General Fitness,No
Paratha,Vegetarian,Breakfast,North Indian,249,29,22,4,5,129,1.4,54.0,244,155,36,1.0,164,General Fitness,11,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,459,11,28,6,1,158,4.7,36.0,468,227,5,0.3,207,General Fitness,85,Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,589,18,29,33,2,263,0.9,30.0,109,187,21,0.5,187,General Fitness,69,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,324,12,33,36,7,222,3.4,45.0,469,64,18,1.1,321,General Fitness,10,Non-Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,621,49,26,22,3,83,4.5,40.0,389,226,11,1.4,244,General Fitness,80,Non-Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,163,50,2,31,1,196,5.4,28.0,143,203,39,0.8,321,General Fitness,54,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,470,80,5,46,2,284,4.8,47.0,288,250,21,0.3,287,General Fitness,17,Veg,General Fitness,No
Paratha,Vegetarian,Breakfast,North Indian,521,23,38,6,5,95,3.1,21.0,293,102,31,1.7,113,General Fitness,49,Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,698,51,35,9,7,145,2.6,53.0,453,145,28,0.1,191,General Fitness,85,Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,587,64,22,26,6,136,3.5,63.0,351,224,21,1.3,388,General Fitness,70,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,221,52,30,28,8,98,3.4,42.0,138,101,11,1.9,121,General Fitness,54,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,682,32,24,39,7,191,0.9,12.0,276,110,27,1.4,233,General Fitness,27,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,416,80,20,39,4,121,3.5,36.0,402,232,21,0.4,251,General Fitness,17,Non-Veg,General Fitness,No
Paratha,Vegetarian,Breakfast,North Indian,317,63,36,5,7,136,0.6,74.0,248,185,22,0.5,247,General Fitness,52,Veg,General Fitness,No
Kadhi Pakora,Vegetarian,Lunch/Dinner,North Indian,355,16,40,32,6,77,1.9,57.0,432,168,27,1.6,265,General Fitness,61,Veg,General Fitness,No
